round,test_accuracy,train_loss,d_loss,cka_loss
75,55.279999999999994,-0.9036607770408743,0,0
76,55.52,-0.9054498327454032,0,0
77,54.44,-0.9040051644908358,0,0
78,54.76,-0.906689384383746,0,0
79,54.2,-0.905638457116545,0,0
80,54.52,-0.906638680686172,0,0
81,55.120000000000005,-0.9057331210935257,0,0
82,54.559999999999995,-0.9069020371536615,0,0
83,55.00000000000001,-0.9076645052644339,0,0
84,54.92,-0.9068004603308659,0,0
85,55.720000000000006,-0.9078748190207514,0,0
86,55.67999999999999,-0.9091399847579523,0,0
87,54.84,-0.9065733107772239,0,0
88,54.879999999999995,-0.9066388125407776,0,0
89,55.2,-0.909150751950815,0,0
90,55.120000000000005,-0.9092444272117183,0,0
91,55.76,-0.9090600167166204,0,0
92,55.52,-0.9077399666052374,0,0
93,55.400000000000006,-0.9093740790202961,0,0
94,56.16,-0.9099092761959392,0,0
95,56.00000000000001,-0.9095694682780239,0,0
96,55.00000000000001,-0.910352826591112,0,0
97,54.879999999999995,-0.9102257306285277,0,0
98,56.24,-0.9104305175126299,0,0
99,56.120000000000005,-0.9111710141925499,0,0
100,55.24,-0.9119265727433391,0,0
101,55.92,-0.9109354719817638,0,0
102,55.800000000000004,-0.9130157484025566,0,0
103,55.96,-0.9142407686829167,0,0
104,56.39999999999999,-0.9145861036999159,0,0
105,55.64,-0.9148251610530347,0,0
106,56.76,-0.9139637724358426,0,0
107,55.96,-0.9135713166834529,0,0
108,55.96,-0.9155782069980295,0,0
109,55.84,-0.9144342997487848,0,0
110,55.120000000000005,-0.9154365412764377,0,0
111,56.36,-0.9145696449827565,0,0
112,56.08,-0.9159401071469189,0,0
113,56.2,-0.9166743544931664,0,0
114,55.52,-0.9175361122499613,0,0
115,56.36,-0.9171404809353929,0,0
116,55.84,-0.9179790819390956,0,0
117,55.84,-0.916640264797913,0,0
118,55.24,-0.9183595471866204,0,0
119,55.84,-0.9186864724408998,0,0
120,55.64,-0.9182084371889381,0,0
121,55.800000000000004,-0.9177302981838734,0,0
122,56.04,-0.9204630518525939,0,0
123,55.800000000000004,-0.9195626223567961,0,0
124,55.52,-0.9196342319567697,0,0
125,55.879999999999995,-0.9192918647662157,0,0
126,56.36,-0.9186729845797071,0,0
127,55.08,-0.919447490534036,0,0
128,55.120000000000005,-0.9195799432187671,0,0
129,55.52,-0.9184455529236131,0,0
130,55.04,-0.9206465749760671,0,0
131,55.36,-0.9223590692813348,0,0
132,55.52,-0.9206782711593792,0,0
133,55.52,-0.9206919521736776,0,0
134,55.879999999999995,-0.9214628807878956,0,0
135,55.76,-0.921595991397165,0,0
136,55.60000000000001,-0.9218113589939948,0,0
137,56.120000000000005,-0.9233893255224231,0,0
138,55.96,-0.9219199958806288,0,0
139,55.2,-0.9234603589840611,0,0
140,55.44,-0.9226042715835652,0,0
141,56.2,-0.9231029804509397,0,0
142,55.400000000000006,-0.9215819177374394,0,0
143,54.96,-0.9230020704476621,0,0
144,54.67999999999999,-0.9232999655788895,0,0
145,55.00000000000001,-0.9230067658538871,0,0
146,54.72,-0.9232432849311066,0,0
147,55.44,-0.9234196390862819,0,0
148,54.120000000000005,-0.9248205255463569,0,0
149,55.2,-0.9259018788225624,0,0
150,55.559999999999995,-0.9252208334320523,0,0
151,54.76,-0.9251972097937406,0,0
152,55.60000000000001,-0.9247468603721973,0,0
153,55.32,-0.9240663053980078,0,0
154,54.92,-0.9258004903466613,0,0
155,54.36,-0.9268119876881641,0,0
156,55.60000000000001,-0.9268546319786849,0,0
157,55.2,-0.9282125056457038,0,0
158,55.16,-0.9260144786238469,0,0
159,55.52,-0.9265831565488167,0,0
160,55.720000000000006,-0.9251364752217475,0,0
161,55.2,-0.9258888685199248,0,0
162,55.400000000000006,-0.9269203347908327,0,0
163,55.00000000000001,-0.9254522931618422,0,0
164,55.16,-0.9272340339555786,0,0
165,55.64,-0.9279699073731498,0,0
166,55.2,-0.9275287625472752,0,0
167,55.48,-0.9282595173088289,0,0
168,55.879999999999995,-0.9283836280501251,0,0
169,55.52,-0.9285725457205013,0,0
170,55.279999999999994,-0.9270044706400196,0,0
171,55.879999999999995,-0.9282910324866422,0,0
172,56.36,-0.9278377953799184,0,0
173,55.64,-0.9277864879938087,0,0
174,55.16,-0.9299470609156874,0,0
175,55.84,-0.9290725084160514,0,0
176,55.60000000000001,-0.9292416719980713,0,0
177,55.04,-0.9287197723263744,0,0
178,55.559999999999995,-0.9299093304802974,0,0
179,55.76,-0.9292784706092343,0,0
180,55.60000000000001,-0.9293371409192129,0,0
181,56.279999999999994,-0.9294233072495721,0,0
182,56.44,-0.9311495656073594,0,0
183,55.96,-0.9290251031307158,0,0
184,55.00000000000001,-0.9306200844424641,0,0
185,55.24,-0.9297180227827846,0,0
186,55.36,-0.9294596245617276,0,0
187,55.76,-0.9286936087634928,0,0
188,56.599999999999994,-0.931200567810724,0,0
189,55.720000000000006,-0.9316387204128083,0,0
190,55.32,-0.9292684718773321,0,0
