round,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
69,0.39645170612900255,87.6210719867157,-0.23202279188002137,2.9990418534306795,0.019282518401598975,81.64778178026488
70,0.46115459587026947,85.83120282702767,0.3116072561699639,30.142795663536766,0.017750937530326184,83.89488525456623
71,0.474835513382052,84.52876398843165,0.5748468007331866,28.8980938073423,0.019597727086655223,82.16062024632461
72,0.45379591930518015,85.98257138267635,0.08683070079199809,14.21773878895002,0.015930984240297267,85.96711597211402
73,0.42065379063510566,86.17484565088377,0.236612247251324,25.996283231131905,0.016773009623516636,84.30884901309008
74,0.4517158778409356,85.32397920248235,0.17281115611714598,20.066513602516945,0.02170415758941038,80.72300793633973
75,0.37480989968946765,88.73787122164734,-0.06601061891703922,1.0226517127000796,0.01974410287616573,81.78295704950331
76,0.41381376631718214,86.99311759981799,0.030593096728378556,40.37337285543547,0.01609562351517705,86.1934775400539
77,0.5147951943755653,84.46871652959622,0.4070955426650869,23.418758962899723,0.01315969771905137,88.5874645644575
78,0.39540659634710196,87.86105453355799,-0.06693004141494044,30.87575162104174,0.019752935836929917,80.80588925304467
79,0.4159749311864133,87.42130947086306,0.1904280922550356,32.50973986009852,0.01795290794441057,85.41627175004385
80,0.26049550868441107,91.58751872723855,-0.07433084723518846,1.715000732638234,0.019301850551908667,82.22380791481095
81,0.36965163257352496,89.2139648602713,0.07301779704301055,26.557259738864502,0.021228748382908284,80.5109745544104
82,0.35612548057669424,89.2692094778461,0.35491003416659905,22.199471003274653,0.021914087866252367,81.41203917840588
83,0.38104970682275,87.91872827885557,0.1282781810973887,34.4054436098675,0.01863399644591618,83.66545732787709
84,0.31228306928061605,90.05823266336708,0.18471796365637658,4.788770087219622,0.02148206958664763,80.45536327544407
85,0.46868876076740584,85.80880557640623,0.2189552330548395,34.485306999227575,0.01507159373597816,85.73293517476499
86,0.39904328005736067,88.03128258364511,0.6761730546406965,34.78174097436067,0.014653897931223443,88.50971088426716
87,0.32997382119275953,89.9590651821488,0.12750527835147238,32.96256766516575,0.014095467682629911,87.76318528251329
88,0.34527698767911125,89.42940212666866,0.17469293240893932,24.59148048013999,0.016420716239666663,85.42625867552668
